wavenumber,d-methionine_avg,d-methionine_count
2002.31,0.9821709877358784,137828
2005.26,0.9839535918123735,137828
2008.21,0.9847525566386053,137828
2011.15,0.982559184605882,137828
2014.09,0.9853072457908014,137828
2017.02,0.9838193742421255,137828
2019.96,0.9809455716529222,137828
2022.89,0.9849418827489884,137828
2025.81,0.9829462463462834,137828
2028.73,0.9818874414719847,137828
2031.65,0.983478287559328,137828
2034.57,0.9812543824439115,137828
2037.48,0.9837169859654628,137828
2040.39,0.9853259309038287,137828
2043.29,0.983447062552241,137828
2046.19,0.9836106961297427,137828
2049.09,0.9840451582114034,137828
2051.98,0.9839637472589381,137828
2054.87,0.9827800569037882,137828
2057.76,0.9843425915387355,137828
2060.64,0.9849919496471177,137828
2063.52,0.988231146908735,137828
2066.39,0.9882224791810252,137828
2069.27,0.9887770069850669,137828
2072.13,0.9884864764611168,137828
2075.0,0.9866022560382829,137828
2077.86,0.985778713789103,137828
2080.71,0.9828004304797876,137828
2083.57,0.9858141327861489,137828
2086.42,0.9850024320579128,137828
2089.27,0.9829856930393708,137828
2092.11,0.9883068091386765,137828
2094.95,0.9843924262358102,137828
2097.79,0.9841650951984802,137828
2098.91,0.9854489289226982,137828
2102.04,0.986268234760338,137828
2105.15,0.9879465459849811,137828
2108.27,0.9897002078735405,137828
2111.38,0.9901183791109425,137828
2114.49,0.9916466170704327,137828
2117.6,0.9880254037609847,137828
2120.7,0.9899064941320677,137828
2123.8,0.9896816157267039,137828
2126.9,0.991545302765977,137828
2129.99,0.9855293854937435,137828
2133.08,0.9897569604799304,137828
2136.17,0.9904135815227749,137828
2139.25,0.9869981462894536,137828
2142.33,0.9906250400016592,137828
2145.41,0.9916662836045657,137828
2148.49,0.9894988475380648,137828
2151.56,0.9889629860532365,137828
2154.63,0.9933055757799042,137828
2157.69,0.9972756862992612,137828
2160.75,0.9962222507370864,137828
2163.81,0.9971615381175252,137828
2166.87,0.9968308187331012,137828
2169.92,0.9967551521953536,137828
2172.97,0.9948306939660129,137828
2176.02,0.9944399795785984,137828
2179.06,0.994727116415775,137828
2182.1,0.9931547185941154,137828
2185.14,0.9945582746526747,137828
2188.17,0.9956735329332655,137828
2191.2,0.9968525508214331,137828
2194.23,0.9950482225793614,137828
2197.26,0.9948377006047072,137828
2200.28,0.9961679979758092,137828
2203.3,0.9972774532345116,137828
2206.31,0.9988209846385144,137828
2209.32,1.0,137828
2212.33,0.9950759243818461,137828
2215.34,0.991294173859859,137828
2218.34,0.9937149109033444,137828
2221.34,0.9939479886231477,137828
2224.34,0.9936874498243916,137828
2227.33,0.9928652141109804,137828
2230.32,0.9953068899844423,137828
2233.3,0.9986739973501643,137828
2236.29,0.995193038438285,137828
2239.27,0.9950837058690595,137828
2242.24,0.9932380097051101,137828
2245.22,0.994420767708027,137828
2248.19,0.9908185327064104,137828
2251.16,0.9914658066641993,137828
2254.12,0.9912787758656095,137828
2257.08,0.9941348659247033,137828
2260.04,0.9988938052299864,137828
2263.0,0.9925032359650097,137828
2265.95,0.9954085818286924,137828
2268.9,0.9948825256730798,137828
2271.84,0.9932040029909175,137828
2274.78,0.9943789079933121,137828
2277.72,0.9947554835481645,137828
2280.66,0.9952162873114525,137828
2283.59,0.9958576314684396,137828
2286.52,0.9962661552073953,137828
2289.45,0.9945651854599815,137828
2292.37,0.9950576680537448,137828
2295.29,0.9962562905588352,137828
2298.21,0.9936851085513657,137828
2301.12,0.9974333434581052,137828
